City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Mocuba,MZ,-16.8392,36.9856,70.83,96,90,2.15,overcast clouds
232,Saint Anthony,US,45.0205,-93.218,26.92,74,100,19.57,overcast clouds
233,Sattenapalle,IN,16.4,80.1833,69.19,84,51,2.86,broken clouds
234,Naze,JP,28.3667,129.4833,59.92,79,97,13.96,overcast clouds
235,Wenatchee,US,47.4235,-120.3103,57.58,77,0,1.01,clear sky
236,Iskateley,RU,67.6803,53.1512,14.85,89,100,22.03,overcast clouds
237,Sibu,MY,2.3,111.8167,80.91,89,40,3.44,scattered clouds
238,Asau,RO,46.4333,26.4,29.32,89,26,6.89,scattered clouds
239,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.34,32,0,4.97,clear sky
240,Maraba,BR,-5.3686,-49.1178,72.46,98,99,0.76,overcast clouds
241,Selenginsk,RU,52.0064,106.8647,-1.62,93,100,6.78,overcast clouds
242,Ixtapa,MX,20.7,-105.2,69.22,78,0,1.01,clear sky
243,Heihe,CN,50.2441,127.4902,1.98,90,95,9.73,overcast clouds
244,Lamu,KE,-2.2717,40.902,79.02,89,55,12.46,broken clouds
245,Acushnet,US,41.6807,-70.9078,36.75,92,0,0.0,clear sky
246,Broome,US,42.2506,-75.833,42.21,63,100,10.0,overcast clouds
247,Rawson,AR,-43.3002,-65.1023,64.53,85,100,8.99,overcast clouds
248,Afua,BR,-0.1567,-50.3867,74.98,95,89,4.97,overcast clouds
249,Were Ilu,ET,10.6,39.4333,51.58,58,87,6.44,overcast clouds
250,Ventspils,LV,57.3894,21.5606,37.33,87,0,18.41,clear sky
251,Kambia,SL,9.1167,-12.9167,71.01,92,0,3.22,clear sky
252,Vanimo,PG,-2.6741,141.3028,84.87,69,31,2.55,scattered clouds
253,Dongsheng,CN,39.8161,109.9776,22.51,49,89,10.45,overcast clouds
254,Sinnamary,GF,5.3833,-52.95,76.12,87,37,8.14,scattered clouds
255,Paddaya,PH,18.3184,121.7551,79.29,75,35,3.94,scattered clouds
256,Oktyabrskiy,RU,54.4815,53.471,17.71,89,100,12.86,overcast clouds
257,Yarmouth,US,41.7057,-70.2286,37.98,84,0,8.05,clear sky
258,Kaitangata,NZ,-46.2817,169.8464,68.94,84,84,3.04,broken clouds
259,Bengkulu,ID,-3.8004,102.2655,77.07,68,100,5.01,overcast clouds
260,Abu Dhabi,AE,24.4667,54.3667,65.97,85,0,4.61,clear sky
261,Port Blair,IN,11.6667,92.75,82.44,74,20,11.5,few clouds
262,Chuy,UY,-33.6971,-53.4616,65.37,77,0,8.5,clear sky
263,Muisne,EC,0.6,-80.0333,76.41,85,93,3.49,overcast clouds
264,Baglan,AF,36.1307,68.7083,41.58,37,67,3.44,broken clouds
265,Baturinskaya,RU,45.7927,39.3707,32.58,86,64,5.77,broken clouds
266,Havoysund,NO,70.9963,24.6622,23.88,81,100,10.78,overcast clouds
267,Lavrentiya,RU,65.5833,-171.0,-24.12,94,21,7.92,few clouds
268,Yumen,CN,40.2833,97.2,22.64,43,100,10.65,overcast clouds
269,Ambilobe,MG,-13.2,49.05,73.87,97,100,1.32,light rain
270,Hammerfest,NO,70.6634,23.6821,23.45,68,0,10.36,clear sky
271,Kiruna,SE,67.8557,20.2251,14.92,92,40,12.66,scattered clouds
272,Zhangye,CN,38.9342,100.4517,21.13,55,56,1.77,broken clouds
273,San Jeronimo,PE,-11.9472,-75.2829,51.48,88,99,2.3,overcast clouds
274,Takapau,NZ,-40.0333,176.35,87.73,53,12,2.71,few clouds
275,Haines Junction,CA,60.7522,-137.5108,39.15,60,14,5.75,few clouds
276,Biggar,GB,55.6167,-3.5167,36.55,90,100,14.72,light snow
277,Kozlovo,RU,56.5167,36.2667,24.67,97,100,7.45,overcast clouds
278,Nago,JP,26.5881,127.9761,66.63,81,93,16.15,overcast clouds
279,Gisborne,NZ,-38.6533,178.0042,85.95,67,32,3.94,scattered clouds
280,Camocim,BR,-2.9022,-40.8411,77.05,85,99,8.59,overcast clouds
281,Fairbanks,US,64.8378,-147.7164,-1.91,77,100,5.75,light snow
282,Balkanabat,TM,39.5108,54.3671,51.93,34,0,5.97,clear sky
283,Azul,AR,-36.777,-59.8585,63.39,65,0,7.45,clear sky
284,Wagga Wagga,AU,-35.1167,147.3667,92.61,33,100,11.5,overcast clouds
285,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.59,96,100,9.69,overcast clouds
286,Yerbogachen,RU,61.2767,108.0108,-21.26,97,94,4.14,overcast clouds
287,Ucluelet,CA,48.9329,-125.5528,47.08,93,100,3.67,overcast clouds
288,Port Hardy,CA,50.6996,-127.4199,45.75,93,75,4.61,broken clouds
289,Ballina,AU,-28.8667,153.5667,84.38,53,0,11.5,clear sky
290,Barabinsk,RU,55.3571,78.357,-14.12,94,5,7.94,clear sky
291,Pedasi,PA,7.5333,-80.0333,74.07,74,44,18.03,scattered clouds
292,Avesta,SE,60.1455,16.1679,34.52,75,5,14.09,clear sky
293,Porto Santo,PT,33.072,-16.3415,64.78,88,0,6.91,clear sky
294,Hakkari,TR,37.5833,44.1667,23.99,96,100,1.21,light snow
295,Premia De Mar,ES,41.4921,2.3652,50.32,81,0,4.0,clear sky
296,Mana,GF,5.6592,-53.7767,76.64,83,13,7.11,few clouds
297,Anaconda,US,46.1285,-112.9423,40.19,94,96,6.62,overcast clouds
298,Margate,GB,51.3813,1.3862,48.88,89,100,3.0,overcast clouds
299,Zaykovo,RU,57.5613,62.7568,4.41,98,85,5.66,overcast clouds
300,Nome,US,64.5011,-165.4064,-11.13,70,40,5.75,scattered clouds
301,Ugoofaaru,MV,5.6667,73.0,80.49,74,54,8.12,broken clouds
302,Isangel,VU,-19.55,169.2667,78.06,94,100,38.39,moderate rain
303,Gomel,BY,52.4345,30.9754,38.77,78,100,13.42,overcast clouds
304,Fort Morgan,US,40.2503,-103.8,41.65,65,100,26.46,overcast clouds
305,Kambove,CD,-10.8764,26.5969,61.81,98,100,3.0,light rain
306,Toul,FR,48.6667,5.9167,43.72,84,0,14.97,clear sky
307,Lawrence,US,38.9717,-95.2353,46.78,43,38,6.31,scattered clouds
308,Naranjal,EC,-2.6667,-79.6167,78.78,88,97,2.77,overcast clouds
309,Elban,RU,50.1018,136.5094,7.25,88,75,3.0,broken clouds
310,Balagansk,RU,54.0103,103.0544,-11.31,94,99,5.12,overcast clouds
311,Reo,BF,12.3167,-2.4667,73.89,13,0,9.4,clear sky
312,Markova,UA,48.6758,24.4138,35.92,92,77,3.71,broken clouds
313,Grindavik,IS,63.8424,-22.4338,19.87,79,0,2.3,clear sky
314,Villa Bruzual,VE,9.3328,-69.1208,80.73,59,92,3.87,overcast clouds
315,Souillac,MU,-20.5167,57.5167,74.35,94,40,2.3,scattered clouds
316,Hamilton,US,39.1834,-84.5333,44.64,66,100,12.66,overcast clouds
317,Kahului,US,20.8947,-156.47,82.42,64,40,17.27,scattered clouds
318,Aquiraz,BR,-3.9014,-38.3911,82.49,76,19,8.25,few clouds
319,Klaksvik,FO,62.2266,-6.589,32.92,61,100,20.42,overcast clouds
320,Coihaique,CL,-45.5752,-72.0662,50.61,66,0,3.44,clear sky
321,Kasongo,CD,-4.45,26.6667,68.27,93,100,2.01,overcast clouds
322,Spornoye,RU,50.8448,37.2913,32.02,92,96,10.02,overcast clouds
323,Newton,US,42.337,-71.2092,36.55,73,0,10.36,clear sky
324,Wilmington,US,34.2257,-77.9447,46.85,75,0,4.61,clear sky
325,Nara,JP,34.6851,135.8049,45.91,60,100,2.55,overcast clouds
326,Yima,CN,34.7381,111.8839,38.21,46,100,0.78,overcast clouds
327,Katherine,AU,-14.4667,132.2667,89.92,55,75,9.22,broken clouds
328,Hofn,IS,64.2539,-15.2082,21.18,72,43,17.49,scattered clouds
329,Praia,CV,14.9215,-23.5087,73.94,60,0,11.5,clear sky
330,Piacabucu,BR,-10.4056,-36.4344,78.58,79,63,8.32,broken clouds
331,Washington,US,47.5001,-120.5015,54.09,77,98,1.9,overcast clouds
332,Sao Filipe,CV,14.8961,-24.4956,76.96,55,98,5.86,overcast clouds
333,Half Moon Bay,US,37.4636,-122.4286,68.34,48,0,11.5,clear sky
